suite name label n test
            ast.AST(2)

"
ast test_AST_objects fail 7 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        # ""ast.AST constructor takes 0 positional arguments""
        ast.AST(2)

"
ast test_AST_objects fail 8 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        ast.AST(2)

"
ast test_AST_objects fail 9 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, ""42"")
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
ast test_AST_objects pass 1 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = -1
        self.assertEqual(x.foobar, -1)
        self.assertEqual(x.__dict__[""foobar""], -1)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
ast test_AST_objects pass 10 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        r = 42
        self.assertEqual(x._fields, ())
        x.foobar = r
        self.assertEqual(x.foobar, r)
        self.assertEqual(x.__dict__[""foobar""], r)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
ast test_AST_objects pass 2 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.zzz = 42
        self.assertEqual(x.zzz, 42)
        self.assertEqual(x.__dict__[""zzz""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
ast test_AST_objects pass 3 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.zzz

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
ast test_AST_objects pass 4 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            ast.AST(2)

"
ast test_AST_objects pass 5 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(-1)

"
ast test_AST_objects pass 6 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(-1, -1)

"
ast test_AST_objects pass 7 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 1 positional arguments""
            ast.AST(2)

"
ast test_AST_objects pass 8 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 2 positional arguments""
            ast.AST(2, 2)

"
ast test_AST_objects pass 9 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        x.foobar2 = 43
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.foobar2, 43)
        self.assertEqual(x.__dict__[""foobar""], 42)
        self.assertEqual(x.__dict__[""foobar2""], 43)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
ast test_positional_only_feature_version fail 1 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version fail 10 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 8))

"
ast test_positional_only_feature_version fail 2 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(AttributeError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version fail 3 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(AttributeError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version fail 4 "    import ast
    ...
    def test_positional_only_feature_version(self):
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version fail 5 "    import ast
    ...
    def test_positional_only_feature_version(self):
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version fail 6 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        ast.parse('lambda x, /: ...', feature_version=(3, 7))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version fail 7 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(AttributeError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version fail 8 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(AttributeError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version fail 9 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version pass 1 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 9))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 9))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version pass 10 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 9))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 9))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 6))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 6))

        ast.parse('lambda x, /: ...', feature_version=(3, 9))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 9))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 6))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 6))

"
ast test_positional_only_feature_version pass 2 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 6))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 6))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version pass 3 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 9))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 9))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version pass 4 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 6))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 6))

"
ast test_positional_only_feature_version pass 5 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(zzz, /): ...', feature_version=(3, 8))
        ast.parse('def bar(zzz=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(zzz, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(zzz=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version pass 6 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda zzz, /: ...', feature_version=(3, 8))
        ast.parse('lambda zzz=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda zzz, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda zzz=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version pass 7 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=-1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=-1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version pass 8 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 9))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 9))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 7))

        ast.parse('lambda x, /: ...', feature_version=(3, 9))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 9))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 7))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 7))

"
ast test_positional_only_feature_version pass 9 "    import ast
    ...
    def test_positional_only_feature_version(self):
        ast.parse('def foo(x, /): ...', feature_version=(3, 8))
        ast.parse('def bar(x=1, /): ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('def foo(x, /): ...', feature_version=(3, 6))
        with self.assertRaises(SyntaxError):
            ast.parse('def bar(x=1, /): ...', feature_version=(3, 6))

        ast.parse('lambda x, /: ...', feature_version=(3, 8))
        ast.parse('lambda x=1, /: ...', feature_version=(3, 8))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x, /: ...', feature_version=(3, 6))
        with self.assertRaises(SyntaxError):
            ast.parse('lambda x=1, /: ...', feature_version=(3, 6))

"
calendar test_january fail 1 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,1), (4,31))

"
calendar test_january fail 10 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,12), (2,30))

"
calendar test_january fail 2 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,1), (3,30))

"
calendar test_january fail 3 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,0), (3,31))

"
calendar test_january fail 4 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,13), (3,31))

"
calendar test_january fail 5 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,65), (3,31))

"
calendar test_january fail 6 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        with self.assertRaises(calendar.IllegalMonthError):
            self.assertEqual(calendar.monthrange(2004,1), (3,31))

"
calendar test_january fail 7 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        with self.assertRaises(AttributeError):
            self.assertEqual(calendar.monthrange(2004,0), (3,31))

"
calendar test_january fail 8 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,2), (6,28))

"
calendar test_january fail 9 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2010,2), (0,29))

"
calendar test_january pass 1 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,2), (6,29))

"
calendar test_january pass 10 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,1), (3,31))
        self.assertEqual(calendar.monthrange(2004,2), (6,29))
        self.assertEqual(calendar.monthrange(2010,2), (0,28))

"
calendar test_january pass 2 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2010,2), (0,28))

"
calendar test_january pass 3 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,12), (2,31))

"
calendar test_january pass 4 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        with self.assertRaises(calendar.IllegalMonthError):
            calendar.monthrange(2004, 0)

"
calendar test_january pass 5 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        with self.assertRaises(calendar.IllegalMonthError):
            calendar.monthrange(2004, 13)

"
calendar test_january pass 6 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        with self.assertRaisesRegex(calendar.IllegalMonthError, '65'):
            calendar.monthrange(2004, 65)

"
calendar test_january pass 7 "    import calendar
    ...
    def test_january(self):
        self.assertEqual(calendar.monthrange(2004,1), (3,31))

"
calendar test_january pass 8 "    import calendar
    ...
    def test_january(self):
        # Tests invalid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,1), (3,31))

"
calendar test_january pass 9 "    import calendar
    ...
    def test_january(self):
        # Tests valid lower boundary case.
        self.assertEqual(calendar.monthrange(2004,1), (3,31))
        self.assertEqual(calendar.monthrange(2004,2), (6,29))

"
calendar test_locale_calendar_formatweekday fail 1 "    import calendar
    ...
    def test_locale_calendar_formatweekday(self):
        try:
            # formatweekday uses different day names based on the available width.
            cal = calendar.LocaleTextCalendar(locale='en_US')
            # For really short widths, the abbreviated name is truncated.
            self.assertEqual(cal.formatweekday(0, 1), ""M "")
            self.assertEqual(cal.formatweekday(0, 2), ""Mo"")
            # For short widths, a centered, abbreviated name is used.
            self.assertEqual(cal.formatweekday(0, 3), ""Mon"")
            self.assertEqual(cal.formatweekday(0, 5), "" Mon "")
            self.assertEqual(cal.formatweekday(0, 8), ""  Mon   "")
            # For long widths, the full day name is used.
            self.assertEqual(cal.formatweekday(0, 9), ""  Monday "")
            self.assertEqual(cal.formatweekday(0, 10), ""  Monday  "")
        except locale.Error:
            raise unittest.SkipTest('cannot set the en_US locale')

"
calendar test_locale_calendar_formatweekday fail 10 "    import calendar
    ...
    def test_locale_calendar_formatweekday(self):
        try:
            # formatweekday uses different day names based on the available width.
            cal = calendar.LocaleTextCalendar(locale='en_US')
            # For really short widths, the abbreviated name is truncated.
            self.assertEqual(cal.formatweekday(0, 1), ""M"")
            self.assertEqual(cal.formatweekday(0, 2), ""Mo"")
            # For short widths, a centered, abbreviated name is used.
            self.assertEqual(cal.formatweekday(0, 3), ""Mon"")
            self.assertEqual(cal.formatweekday(0, 5), "" Mon "")
            self.assertEqual(cal.formatweekday(0, 8), ""  Mon   "")
            # For long widths, the full day name is used.
            self.assertEqual(cal.formatweekday(0, 9), ""  Monday "")
            self.assertEqual(cal.formatweekday(1, 10), ""  Monday  "")
        except locale.Error:
            raise unittest.SkipTest('cannot set the en_US locale')

"
calendar test_locale_calendar_formatweekday fail 2 "    import calendar
    ...
    def test_locale_calendar_formatweekday(self):
        try:
            # formatweekday uses different day names based on the available width.
            cal = calendar.LocaleTextCalendar(locale='en_US')
            # For really short widths, the abbreviated name is truncated.
            self.assertEqual(cal.formatweekday(0, 1), ""M"")
            self.assertEqual(cal.formatweekday(0, 2), ""M"")
            # For short widths, a centered, abbreviated name is used.
            self.assertEqual(cal.formatweekday(0, 3), ""Mon"")
            self.assertEqual(cal.formatweekday(0, 5), "" Mon "")
            self.assertEqual(cal.formatweekday(0, 8), ""  Mon   "")
            # For long widths, the full day name is used.
            self.assertEqual(cal.formatweekday(0, 9), ""  Monday "")
            self.assertEqual(cal.formatweekday(0, 10), ""  Monday  "")
        except locale.Error:
            raise unittest.SkipTest('cannot set the en_US locale')

"
calendar test_locale_calendar_formatweekday fail 3 "    import calendar
    ...
    def test_locale_calendar_formatweekday(self):
        try:
            # formatweekday uses different day names based on the available width.
